,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,Gender,Age,PositiveTransfer,FaceStimMatrix,oldYMcounter,oldYFcounter,oldOMcounter,oldOFcounter,newYMcounter,newYFcounter,newOMcounter,newOFcounter,keyPressed,Mem,Hit,FA,CR,Miss,RT,subject
0,1,MemResp,2,1,0,0,0,OM,1,2,0,11,0,0,0,0,0,0,1,0,a,1,0,1,0,0,1697,1
1,2,MemRespITI,2,2,1,1,0,YM,1,1,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1697,1
2,3,MemResp,2,3,2,2,0,OF,2,2,0,4,1,0,0,1,0,0,1,0,a,2,1,0,0,0,1946,1
3,4,MemResp,2,4,3,3,0,OF,2,2,0,4,1,0,0,2,0,0,1,0,a,2,1,0,0,0,1215,1
4,5,MemResp,2,5,4,4,0,YF,2,1,0,10,1,0,0,2,0,1,1,0,a,1,0,1,0,0,749,1
5,6,MemResp,2,6,5,5,0,OF,2,2,0,4,1,0,0,3,0,1,1,0,a,2,1,0,0,0,901,1
6,7,MemResp,2,7,6,6,0,YM,1,1,0,1,2,0,0,3,0,1,1,0,a,2,1,0,0,0,1177,1
7,8,MemResp,2,8,7,7,0,OF,2,2,0,12,2,0,0,3,0,1,1,1,k,1,0,0,1,0,1733,1
8,9,MemResp,2,9,8,8,0,YM,1,1,0,9,2,0,0,3,1,1,1,1,k,1,0,0,1,0,1180,1
9,10,MemResp,2,10,9,9,0,OM,1,2,0,11,2,0,0,3,1,1,2,1,a,1,0,1,0,0,905,1
10,11,MemResp,2,11,10,10,0,YF,2,1,1,2,2,1,0,3,1,1,2,1,s,2,1,0,0,0,917,1
11,12,MemResp,2,12,11,11,0,YM,1,1,0,1,3,1,0,3,1,1,2,1,k,2,0,0,0,1,954,1
12,13,MemResp,2,13,12,12,0,OF,2,2,0,4,3,1,0,4,1,1,2,1,a,2,1,0,0,0,1016,1
13,14,MemResp,2,14,13,13,0,YM,1,1,0,1,4,1,0,4,1,1,2,1,a,2,1,0,0,0,781,1
14,15,MemResp,2,15,14,14,0,OM,1,2,0,11,4,1,0,4,1,1,3,1,l,1,0,0,1,0,1316,1
15,16,MemResp,2,16,15,15,0,YF,2,1,1,2,4,2,0,4,1,1,3,1,a,2,1,0,0,0,1288,1
16,17,MemResp,2,17,16,16,0,YM,1,1,0,1,5,2,0,4,1,1,3,1,a,2,1,0,0,0,861,1
17,18,MemResp,2,18,17,17,0,OM,1,2,0,11,5,2,0,4,1,1,4,1,k,1,0,0,1,0,1259,1
18,19,MemRespITI,2,19,18,18,0,YM,1,1,0,1,6,2,0,4,1,1,4,1,0,2,0,0,0,0,1259,1
19,20,MemResp,2,20,19,19,0,OF,2,2,0,12,6,2,0,4,1,1,4,2,a,1,0,1,0,0,975,1
20,21,MemResp,2,21,20,20,0,YM,1,1,0,1,7,2,0,4,1,1,4,2,a,2,1,0,0,0,907,1
21,22,MemResp,2,22,21,21,0,OF,2,2,0,4,7,2,0,5,1,1,4,2,k,2,0,0,0,1,1159,1
22,23,MemResp,2,23,22,22,0,YM,1,1,0,1,8,2,0,5,1,1,4,2,k,2,0,0,0,1,1252,1
23,24,MemResp,2,24,23,23,0,YF,2,1,0,10,8,2,0,5,1,2,4,2,a,1,0,1,0,0,914,1
24,25,MemResp,2,25,24,24,0,YF,2,1,1,2,8,3,0,5,1,2,4,2,a,2,1,0,0,0,1345,1
25,26,MemResp,2,26,25,25,0,YM,1,1,0,1,9,3,0,5,1,2,4,2,a,2,1,0,0,0,806,1
26,27,MemResp,2,27,26,26,0,OF,2,2,0,4,9,3,0,6,1,2,4,2,l,2,0,0,0,1,1099,1
27,28,MemResp,2,28,27,27,0,YF,2,1,0,10,9,3,0,6,1,3,4,2,l,1,0,0,1,0,1449,1
28,29,MemResp,2,29,28,28,0,OM,1,2,1,3,9,3,1,6,1,3,4,2,l,2,0,0,0,1,983,1
29,30,MemResp,2,30,29,29,0,YM,1,1,0,1,10,3,1,6,1,3,4,2,l,2,0,0,0,1,932,1
30,31,MemResp,2,31,30,30,0,YF,2,1,1,2,10,4,1,6,1,3,4,2,a,2,1,0,0,0,899,1
31,32,MemResp,2,32,31,31,0,OF,2,2,0,4,10,4,1,7,1,3,4,2,a,2,1,0,0,0,807,1
32,33,MemResp,2,33,32,32,0,OM,1,2,1,3,10,4,2,7,1,3,4,2,a,2,1,0,0,0,620,1
33,34,MemResp,2,34,33,33,0,YM,1,1,0,1,11,4,2,7,1,3,4,2,a,2,1,0,0,0,1026,1
34,35,MemResp,2,35,34,34,0,YF,2,1,1,2,11,5,2,7,1,3,4,2,a,2,1,0,0,0,951,1
35,36,MemResp,2,36,35,35,0,OM,1,2,1,3,11,5,3,7,1,3,4,2,s,2,1,0,0,0,854,1
36,37,MemResp,2,37,36,36,0,OM,1,2,1,3,11,5,4,7,1,3,4,2,a,2,1,0,0,0,881,1
37,38,MemResp,2,38,37,37,0,YM,1,1,0,9,11,5,4,7,2,3,4,2,k,1,0,0,1,0,976,1
38,39,MemResp,2,39,38,38,0,OM,1,2,1,3,11,5,5,7,2,3,4,2,a,2,1,0,0,0,1357,1
39,40,MemResp,2,40,39,39,0,YM,1,1,0,1,12,5,5,7,2,3,4,2,s,2,1,0,0,0,1058,1
40,41,MemResp,2,41,40,40,0,OM,1,2,1,3,12,5,6,7,2,3,4,2,k,2,0,0,0,1,1144,1
41,42,MemResp,2,42,41,41,0,OF,2,2,0,4,12,5,6,8,2,3,4,2,a,2,1,0,0,0,766,1
42,43,MemResp,2,43,42,42,0,YF,2,1,1,2,12,6,6,8,2,3,4,2,a,2,1,0,0,0,1123,1
43,44,MemResp,2,44,43,43,0,OM,1,2,1,3,12,6,7,8,2,3,4,2,s,2,1,0,0,0,952,1
44,45,MemResp,2,45,44,44,0,YF,2,1,1,2,12,7,7,8,2,3,4,2,k,2,0,0,0,1,661,1
45,46,MemResp,2,46,45,45,0,YF,2,1,1,2,12,8,7,8,2,3,4,2,k,2,0,0,0,1,755,1
46,47,MemResp,2,47,46,46,0,YM,1,1,0,1,13,8,7,8,2,3,4,2,a,2,1,0,0,0,595,1
47,48,MemResp,2,48,47,47,0,OM,1,2,1,3,13,8,8,8,2,3,4,2,l,2,0,0,0,1,1255,1
48,49,MemResp,2,49,48,48,0,YF,2,1,0,10,13,8,8,8,2,4,4,2,k,1,0,0,1,0,1381,1
49,50,MemResp,2,50,49,49,0,YM,1,1,0,1,14,8,8,8,2,4,4,2,k,2,0,0,0,1,923,1
50,51,MemResp,2,51,50,50,0,OF,2,2,0,4,14,8,8,9,2,4,4,2,a,2,1,0,0,0,1096,1
51,52,MemResp,2,52,51,51,0,OM,1,2,1,3,14,8,9,9,2,4,4,2,s,2,1,0,0,0,1223,1
52,53,MemResp,2,53,52,52,0,OM,1,2,1,3,14,8,10,9,2,4,4,2,a,2,1,0,0,0,1450,1
53,54,MemResp,2,54,53,53,0,YF,2,1,1,2,14,9,10,9,2,4,4,2,k,2,0,0,0,1,888,1
54,55,MemResp,2,55,54,54,0,OM,1,2,0,11,14,9,10,9,2,4,5,2,k,1,0,0,1,0,1118,1
55,56,MemResp,2,56,55,55,0,YF,2,1,1,2,14,10,10,9,2,4,5,2,k,2,0,0,0,1,1770,1
56,57,MemResp,2,57,56,56,0,YM,1,1,0,9,14,10,10,9,3,4,5,2,a,1,0,1,0,0,992,1
57,58,MemResp,2,58,57,57,0,OM,1,2,1,3,14,10,11,9,3,4,5,2,a,2,1,0,0,0,1031,1
58,59,MemResp,2,59,58,58,0,YF,2,1,1,2,14,11,11,9,3,4,5,2,k,2,0,0,0,1,1179,1
59,60,MemResp,2,60,59,59,0,OF,2,2,0,4,14,11,11,10,3,4,5,2,a,2,1,0,0,0,968,1
60,61,MemResp,2,61,60,60,0,OF,2,2,0,4,14,11,11,11,3,4,5,2,a,2,1,0,0,0,798,1
61,62,MemResp,2,62,61,61,0,OF,2,2,0,12,14,11,11,11,3,4,5,3,s,1,0,1,0,0,1075,1
62,63,MemResp,2,63,62,62,0,OM,1,2,1,3,14,11,12,11,3,4,5,3,k,2,0,0,0,1,777,1
63,64,MemResp,2,64,63,63,0,YF,2,1,0,10,14,11,12,11,3,5,5,3,l,1,0,0,1,0,1056,1
64,65,MemResp,2,65,64,64,0,OF,2,2,0,4,14,11,12,12,3,5,5,3,a,2,1,0,0,0,1253,1
65,66,MemResp,2,66,65,65,0,OM,1,2,1,3,14,11,13,12,3,5,5,3,k,2,0,0,0,1,1298,1
66,67,MemResp,2,67,66,66,0,OM,1,2,1,3,14,11,14,12,3,5,5,3,a,2,1,0,0,0,1207,1
67,68,MemResp,2,68,67,67,0,OF,2,2,0,12,14,11,14,12,3,5,5,4,a,1,0,1,0,0,1237,1
68,69,MemResp,2,69,68,68,0,YF,2,1,1,2,14,12,14,12,3,5,5,4,l,2,0,0,0,1,1036,1
69,70,MemResp,2,70,69,69,0,YF,2,1,1,2,14,13,14,12,3,5,5,4,l,2,0,0,0,1,1072,1
70,71,MemResp,2,71,70,70,0,YF,2,1,1,2,14,14,14,12,3,5,5,4,a,2,1,0,0,0,925,1
71,72,MemResp,2,72,71,71,0,OF,2,2,0,4,14,14,14,13,3,5,5,4,k,2,0,0,0,1,1172,1
72,73,MemResp,2,73,72,72,0,YM,1,1,0,9,14,14,14,13,4,5,5,4,k,1,0,0,1,0,881,1
73,74,MemResp,2,74,73,73,0,YF,2,1,1,2,14,15,14,13,4,5,5,4,l,2,0,0,0,1,1112,1
74,75,MemResp,2,75,74,74,0,OF,2,2,0,4,14,15,14,14,4,5,5,4,l,2,0,0,0,1,1123,1
75,76,MemResp,2,76,75,75,0,YM,1,1,0,9,14,15,14,14,5,5,5,4,l,1,0,0,1,0,1001,1
76,77,MemResp,2,77,76,76,0,OF,2,2,0,4,14,15,14,15,5,5,5,4,l,2,0,0,0,1,942,1
77,78,MemResp,2,78,77,77,0,OM,1,2,1,3,14,15,15,15,5,5,5,4,a,2,1,0,0,0,875,1
78,79,MemResp,2,79,78,78,0,OF,2,2,0,12,14,15,15,15,5,5,5,5,a,1,0,1,0,0,1049,1
79,80,MemResp,2,80,79,79,0,YM,1,1,0,1,15,15,15,15,5,5,5,5,k,2,0,0,0,1,904,1
80,81,MemResp,2,81,0,80,1,OF,2,2,0,12,15,15,15,15,5,5,5,6,a,1,0,1,0,0,1058,1
81,82,MemResp,2,82,1,81,1,OM,1,2,1,3,15,15,16,15,5,5,5,6,a,2,1,0,0,0,968,1
82,83,MemResp,2,83,2,82,1,YF,2,1,1,2,15,16,16,15,5,5,5,6,k,2,0,0,0,1,1228,1
83,84,MemResp,2,84,3,83,1,OF,2,2,0,12,15,16,16,15,5,5,5,7,k,1,0,0,1,0,913,1
84,85,MemResp,2,85,4,84,1,YF,2,1,0,10,15,16,16,15,5,6,5,7,k,1,0,0,1,0,702,1
85,86,MemResp,2,86,5,85,1,YM,1,1,0,1,16,16,16,15,5,6,5,7,k,2,0,0,0,1,627,1
86,87,MemResp,2,87,6,86,1,YF,2,1,0,10,16,16,16,15,5,7,5,7,k,1,0,0,1,0,825,1
87,88,MemResp,2,88,7,87,1,OF,2,2,0,4,16,16,16,16,5,7,5,7,a,2,1,0,0,0,856,1
88,89,MemResp,2,89,8,88,1,YF,2,1,1,2,16,17,16,16,5,7,5,7,k,2,0,0,0,1,612,1
89,90,MemResp,2,90,9,89,1,YF,2,1,1,2,16,18,16,16,5,7,5,7,k,2,0,0,0,1,754,1
90,91,MemResp,2,91,10,90,1,OM,1,2,1,3,16,18,17,16,5,7,5,7,k,2,0,0,0,1,1112,1
91,92,MemResp,2,92,11,91,1,OM,1,2,0,11,16,18,17,16,5,7,6,7,k,1,0,0,1,0,1006,1
92,93,MemResp,2,93,12,92,1,OM,1,2,0,11,16,18,17,16,5,7,7,7,k,1,0,0,1,0,788,1
93,94,MemResp,2,94,13,93,1,YM,1,1,0,1,17,18,17,16,5,7,7,7,k,2,0,0,0,1,707,1
94,95,MemResp,2,95,14,94,1,OM,1,2,1,3,17,18,18,16,5,7,7,7,s,2,1,0,0,0,864,1
95,96,MemResp,2,96,15,95,1,OF,2,2,0,12,17,18,18,16,5,7,7,8,s,1,0,1,0,0,949,1
96,97,MemResp,2,97,16,96,1,YF,2,1,0,10,17,18,18,16,5,8,7,8,k,1,0,0,1,0,794,1
97,98,MemResp,2,98,17,97,1,OF,2,2,0,4,17,18,18,17,5,8,7,8,a,2,1,0,0,0,879,1
98,99,MemResp,2,99,18,98,1,OF,2,2,0,4,17,18,18,18,5,8,7,8,a,2,1,0,0,0,765,1
99,100,MemResp,2,100,19,99,1,OM,1,2,1,3,17,18,19,18,5,8,7,8,k,2,0,0,0,1,1082,1
100,101,MemResp,2,101,20,100,1,OM,1,2,1,3,17,18,20,18,5,8,7,8,a,2,1,0,0,0,1264,1
101,102,MemResp,2,102,21,101,1,YM,1,1,0,1,18,18,20,18,5,8,7,8,a,2,1,0,0,0,1341,1
102,103,MemResp,2,103,22,102,1,OM,1,2,1,3,18,18,21,18,5,8,7,8,k,2,0,0,0,1,938,1
103,104,MemResp,2,104,23,103,1,OF,2,2,0,4,18,18,21,19,5,8,7,8,a,2,1,0,0,0,968,1
104,105,MemResp,2,105,24,104,1,YM,1,1,0,1,19,18,21,19,5,8,7,8,a,2,1,0,0,0,893,1
105,106,MemResp,2,106,25,105,1,YF,2,1,1,2,19,19,21,19,5,8,7,8,a,2,1,0,0,0,818,1
106,107,MemResp,2,107,26,106,1,YF,2,1,0,10,19,19,21,19,5,9,7,8,k,1,0,0,1,0,920,1
107,108,MemResp,2,108,27,107,1,YM,1,1,0,1,20,19,21,19,5,9,7,8,k,2,0,0,0,1,796,1
108,109,MemResp,2,109,28,108,1,YM,1,1,0,9,20,19,21,19,6,9,7,8,k,1,0,0,1,0,803,1
109,110,MemResp,2,110,29,109,1,OF,2,2,0,4,20,19,21,20,6,9,7,8,a,2,1,0,0,0,834,1
110,111,MemResp,2,111,30,110,1,YM,1,1,0,1,21,19,21,20,6,9,7,8,k,2,0,0,0,1,1068,1
111,112,MemResp,2,112,31,111,1,YF,2,1,1,2,21,20,21,20,6,9,7,8,l,2,0,0,0,1,802,1
112,113,MemResp,2,113,32,112,1,YM,1,1,0,1,22,20,21,20,6,9,7,8,k,2,0,0,0,1,936,1
113,114,MemResp,2,114,33,113,1,OF,2,2,0,12,22,20,21,20,6,9,7,9,k,1,0,0,1,0,838,1
114,115,MemResp,2,115,34,114,1,YF,2,1,1,2,22,21,21,20,6,9,7,9,l,2,0,0,0,1,1309,1
115,116,MemResp,2,116,35,115,1,YM,1,1,0,9,22,21,21,20,7,9,7,9,k,1,0,0,1,0,1353,1
116,117,MemResp,2,117,36,116,1,YF,2,1,1,2,22,22,21,20,7,9,7,9,a,2,1,0,0,0,911,1
117,118,MemResp,2,118,37,117,1,OF,2,2,0,4,22,22,21,21,7,9,7,9,a,2,1,0,0,0,1100,1
118,119,MemResp,2,119,38,118,1,OM,1,2,1,3,22,22,22,21,7,9,7,9,s,2,1,0,0,0,1009,1
119,120,MemResp,2,120,39,119,1,OM,1,2,1,3,22,22,23,21,7,9,7,9,a,2,1,0,0,0,1111,1
120,121,MemResp,2,121,40,120,1,OM,1,2,0,11,22,22,23,21,7,9,8,9,a,1,0,1,0,0,757,1
121,122,MemResp,2,122,41,121,1,YM,1,1,0,1,23,22,23,21,7,9,8,9,a,2,1,0,0,0,762,1
122,123,MemResp,2,123,42,122,1,YF,2,1,1,2,23,23,23,21,7,9,8,9,a,2,1,0,0,0,1183,1
123,124,MemResp,2,124,43,123,1,OM,1,2,1,3,23,23,24,21,7,9,8,9,s,2,1,0,0,0,1133,1
124,125,MemResp,2,125,44,124,1,YF,2,1,1,2,23,24,24,21,7,9,8,9,a,2,1,0,0,0,1404,1
125,126,MemResp,2,126,45,125,1,YM,1,1,0,1,24,24,24,21,7,9,8,9,k,2,0,0,0,1,931,1
