,Unnamed: 0,TypeOfResponse,LogCounter,TrialCounter,MatrixCounter,RunCounter,ProcedurePreseted,FaceStimMatrix,TrialType,PressCorrect,ResponseMatrix,keyPressed,Accuracy,RT,FeedbackType,PracticeACCCount,ACCCount,subject
0,517,FillerResp,1,0,0,0,1,4,0,z,1,z,1,632,0,1,0,1
1,518,FillerResp,2,1,1,0,1,4,0,z,1,z,1,754,0,2,0,1
2,519,FillerResp,3,2,2,0,1,3,0,z,1,z,1,570,0,3,0,1
3,520,FillerResp,4,3,3,0,1,2,0,c,2,z,0,578,0,3,0,1
4,521,FillerRespITI,5,4,4,0,1,1,0,c,2,0,0,578,0,3,0,1
5,522,FillerResp,6,5,5,0,1,3,0,z,1,z,1,694,0,4,0,1
6,523,FillerResp,7,6,6,0,1,1,0,c,2,c,1,623,0,5,0,1
7,524,FillerResp,8,7,7,0,1,2,0,c,2,c,1,838,0,6,0,1
8,525,FillerResp,9,8,8,0,1,1,0,c,2,c,1,782,0,7,0,1
9,526,FillerResp,10,9,9,0,2,3,0,c,2,z,0,437,0,7,0,1
10,527,FillerRespITI,11,10,10,0,2,2,0,z,1,0,0,437,0,7,0,1
11,528,FillerResp,12,11,11,0,2,3,0,c,2,z,0,702,0,7,0,1
12,529,FillerResp,13,12,12,0,2,4,0,z,1,c,0,949,0,7,0,1
13,530,FillerResp,14,13,13,0,2,1,0,c,2,c,1,796,0,8,0,1
14,531,FillerResp,15,14,14,0,2,2,0,z,1,z,1,772,0,9,0,1
15,532,FillerResp,16,15,15,0,2,4,0,z,1,z,1,651,0,10,0,1
16,533,FillerResp,17,16,16,0,2,2,0,z,1,z,1,533,0,11,0,1
17,534,FillerRespITI,18,17,17,0,2,3,0,c,2,0,0,533,0,11,0,1
18,535,FillerRespITI,19,18,18,0,1,2,0,c,2,0,0,533,0,11,0,1
19,536,FillerResp,20,19,19,0,2,3,0,c,2,c,1,890,0,12,0,1
20,537,FillerResp,21,20,20,0,1,4,0,z,1,z,1,753,0,13,0,1
21,538,FillerResp,22,21,21,0,2,1,0,c,2,c,1,826,0,14,0,1
22,539,FillerResp,23,22,22,0,1,1,0,c,2,z,0,898,0,14,0,1
23,540,FillerResp,24,23,23,0,2,4,0,z,1,z,1,889,0,15,0,1
24,541,FillerResp,25,24,24,0,1,2,0,c,2,c,1,817,0,16,0,1
25,542,FillerResp,26,25,25,0,2,2,0,z,1,c,0,697,0,16,0,1
26,543,FillerRespITI,27,26,26,0,1,3,0,z,1,0,0,697,0,16,0,1
27,544,FillerResp,28,27,27,0,2,1,0,c,2,c,1,671,0,17,0,1
28,545,FillerResp,29,28,28,0,2,4,2,z,1,z,1,783,0,17,1,1
29,546,FillerRespITI,30,29,29,0,1,1,1,c,2,0,0,783,0,17,1,1
30,547,FillerResp,31,30,30,0,2,3,1,c,2,c,1,639,0,17,2,1
31,548,FillerResp,32,31,31,0,2,4,2,z,1,z,1,707,0,17,3,1
32,549,FillerResp,33,32,32,0,2,1,2,c,2,c,1,680,0,17,4,1
33,550,FillerResp,34,33,33,0,1,4,1,z,1,z,1,767,0,17,5,1
34,551,FillerResp,35,34,34,0,1,3,2,z,1,z,1,551,0,17,6,1
35,552,FillerResp,36,35,35,0,2,1,1,c,2,c,1,751,0,17,7,1
36,553,FillerResp,37,36,36,0,1,4,1,z,1,z,1,711,0,17,8,1
37,554,FillerResp,38,37,37,0,1,2,2,c,2,c,1,657,0,17,9,1
38,555,FillerResp,39,38,38,0,2,2,1,z,1,c,0,872,0,17,9,1
39,556,FillerResp,40,39,39,0,1,3,1,z,1,z,1,928,0,17,10,1
40,557,FillerResp,41,40,40,0,1,1,2,c,2,c,1,632,0,17,11,1
41,558,FillerResp,42,41,41,0,1,3,2,z,1,z,1,640,0,17,12,1
42,559,FillerResp,43,42,42,0,2,2,1,z,1,c,0,583,0,17,12,1
43,560,FillerResp,44,43,43,0,2,4,2,z,1,z,1,624,0,17,13,1
44,561,FillerResp,45,44,44,0,1,2,1,c,2,c,1,696,0,17,14,1
45,562,FillerResp,46,45,45,0,1,3,2,z,1,z,1,655,0,17,15,1
46,563,FillerResp,47,46,46,0,2,1,1,c,2,c,1,838,0,17,16,1
47,564,FillerResp,48,47,47,0,2,4,2,z,1,z,1,655,0,17,17,1
48,565,FillerResp,49,48,48,0,1,3,1,z,1,c,0,618,0,17,17,1
49,566,FillerResp,50,49,49,0,2,3,1,c,2,c,1,817,0,17,18,1
50,567,FillerResp,51,50,50,0,1,1,1,c,2,c,1,699,0,17,19,1
51,568,FillerResp,52,51,51,0,2,2,1,z,1,c,0,659,0,17,19,1
52,569,FillerResp,53,52,52,0,2,2,2,z,1,z,1,681,0,17,20,1
53,570,FillerResp,54,53,53,0,2,4,2,z,1,z,1,496,0,17,21,1
54,571,FillerResp,55,54,54,0,2,4,2,z,1,z,1,542,0,17,22,1
55,572,FillerResp,56,55,55,0,1,1,1,c,2,c,1,817,0,17,23,1
56,573,FillerResp,57,56,56,0,1,1,2,c,2,c,1,681,0,17,24,1
57,574,FillerResp,58,57,57,0,1,3,2,z,1,z,1,816,0,17,25,1
58,575,FillerResp,59,58,58,0,1,4,2,z,1,z,1,520,0,17,26,1
59,576,FillerResp,60,59,59,0,1,2,2,c,2,c,1,642,0,17,27,1
60,577,FillerResp,61,60,60,0,1,4,2,z,1,z,1,696,0,17,28,1
61,578,FillerResp,62,61,61,0,1,3,2,z,1,z,1,496,0,17,29,1
62,579,FillerResp,63,62,62,0,2,2,1,z,1,z,1,840,0,17,30,1
63,580,FillerResp,64,63,63,0,1,1,1,c,2,c,1,928,0,17,31,1
64,581,FillerResp,65,64,64,0,2,3,1,c,2,z,0,777,0,17,31,1
65,582,FillerResp,66,65,65,0,2,1,2,c,2,c,1,688,0,17,32,1
66,583,FillerResp,67,66,66,0,2,3,2,c,2,c,1,743,0,17,33,1
67,584,FillerResp,68,67,67,0,1,2,1,c,2,c,1,623,0,17,34,1
68,585,FillerResp,69,68,68,0,1,1,2,c,2,c,1,760,0,17,35,1
69,586,FillerResp,70,69,69,0,2,4,1,z,1,c,0,816,0,17,35,1
70,587,FillerResp,71,70,70,0,2,2,2,z,1,z,1,631,0,17,36,1
71,588,FillerResp,72,71,71,0,2,4,2,z,1,z,1,543,0,17,37,1
72,589,FillerResp,73,72,72,0,1,4,1,z,1,z,1,742,0,17,38,1
73,590,FillerResp,74,73,73,0,2,3,1,c,2,z,0,606,0,17,38,1
74,591,FillerResp,75,74,74,0,2,1,2,c,2,c,1,630,0,17,39,1
75,592,FillerResp,76,75,75,0,2,4,2,z,1,z,1,542,0,17,40,1
76,593,FillerResp,77,76,76,0,1,1,1,c,2,c,1,709,0,17,41,1
77,594,FillerResp,78,77,77,0,2,2,1,z,1,z,1,862,0,17,42,1
78,595,FillerRespITI,79,78,78,0,1,3,1,z,1,0,0,862,0,17,42,1
79,596,FillerResp,80,79,79,0,1,2,2,c,2,z,0,709,0,17,42,1
80,597,FillerResp,81,80,80,0,1,4,2,z,1,z,1,782,0,17,43,1
81,598,FillerResp,82,81,81,0,2,2,1,z,1,z,1,753,0,17,44,1
82,599,FillerResp,83,82,82,0,2,1,2,c,2,c,1,797,0,17,45,1
83,600,FillerResp,84,83,83,0,2,1,2,c,2,c,1,499,0,17,46,1
84,601,FillerResp,85,84,84,0,1,4,1,z,1,z,1,652,0,17,47,1
85,602,FillerResp,86,85,85,0,2,3,1,c,2,c,1,789,0,17,48,1
86,603,FillerResp,87,86,86,0,1,3,1,z,1,z,1,619,0,17,49,1
87,604,FillerResp,88,87,87,0,1,2,2,c,2,c,1,659,0,17,50,1
88,605,FillerResp,89,88,88,0,2,2,1,z,1,z,1,860,0,17,51,1
89,606,FillerResp,90,89,89,0,1,1,1,c,2,c,1,660,0,17,52,1
90,607,FillerResp,91,90,90,0,1,4,2,z,1,z,1,571,0,17,53,1
91,608,FillerResp,92,91,91,0,2,3,1,c,2,c,1,612,0,17,54,1
92,609,FillerResp,93,92,92,0,1,4,1,z,1,z,1,540,0,17,55,1
93,610,FillerResp,94,93,93,0,1,2,2,c,2,c,1,627,0,17,56,1
94,611,FillerResp,95,94,94,0,2,3,1,c,2,z,0,650,0,17,56,1
95,612,FillerResp,96,95,95,0,1,1,1,c,2,c,1,706,0,17,57,1
96,613,FillerResp,97,96,96,0,2,2,1,z,1,z,1,827,0,17,58,1
97,614,FillerResp,98,97,97,0,2,3,2,c,2,z,0,818,0,17,58,1
98,615,FillerResp,99,98,98,0,1,4,1,z,1,z,1,747,0,17,59,1
99,616,FillerResp,100,99,99,0,1,2,2,c,2,c,1,643,0,17,60,1
100,617,FillerResp,101,100,100,0,2,1,1,c,2,c,1,698,0,17,61,1
101,618,FillerResp,102,101,101,0,1,1,1,c,2,z,0,548,0,17,61,1
102,619,FillerResp,103,102,102,0,1,4,2,z,1,z,1,793,0,17,62,1
103,620,FillerResp,104,103,103,0,1,3,2,z,1,z,1,657,0,17,63,1
104,621,FillerResp,105,104,104,0,1,1,2,c,2,c,1,794,0,17,64,1
105,622,FillerResp,106,105,105,0,2,4,1,z,1,z,1,689,0,17,65,1
106,623,FillerResp,107,106,106,0,2,1,2,c,2,c,1,569,0,17,66,1
107,624,FillerResp,108,107,107,0,2,2,2,z,1,c,0,674,0,17,66,1
108,625,FillerResp,109,108,108,0,2,4,2,z,1,z,1,680,0,17,67,1
109,626,FillerResp,110,109,109,0,1,2,1,c,2,z,0,658,0,17,67,1
110,627,FillerResp,111,110,110,0,2,3,1,c,2,c,1,970,0,17,68,1
111,628,FillerResp,112,111,111,0,2,3,2,c,2,c,1,705,0,17,69,1
112,629,FillerResp,113,112,112,0,1,1,1,c,2,z,0,842,0,17,69,1
113,630,FillerResp,114,113,113,0,1,2,2,c,2,c,1,848,0,17,70,1
114,631,FillerRespITI,115,114,114,0,2,1,1,c,2,0,0,848,0,17,70,1
115,632,FillerResp,116,115,115,0,2,3,2,c,2,z,0,681,0,17,70,1
116,633,FillerResp,117,116,116,0,1,4,1,z,1,c,0,800,0,17,70,1
117,634,FillerResp,118,117,117,0,1,4,2,z,1,z,1,504,0,17,71,1
118,635,FillerResp,119,118,118,0,1,2,2,c,2,c,1,688,0,17,72,1
119,636,FillerResp,120,119,119,0,2,3,1,c,2,z,0,632,0,17,72,1
0,517,FillerRespITI,1,0,0,0,1,1,0,c,2,0,0,,0,0,0,2
1,518,FillerResp,2,1,1,0,1,4,0,z,1,z,1,811,0,1,0,2
2,519,FillerResp,3,2,2,0,1,1,0,c,2,z,0,833,0,1,0,2
3,520,FillerResp,4,3,3,0,1,2,0,c,2,z,0,678,0,1,0,2
4,521,FillerResp,5,4,4,0,1,4,0,z,1,z,1,564,0,2,0,2
5,522,FillerResp,6,5,5,0,1,2,0,c,2,z,0,433,0,2,0,2
6,523,FillerResp,7,6,6,0,1,3,0,z,1,z,1,347,0,3,0,2
7,524,FillerResp,8,7,7,0,1,3,0,z,1,z,1,624,0,4,0,2
8,525,FillerResp,9,8,8,0,1,2,0,c,2,z,0,509,0,4,0,2
9,526,FillerResp,10,9,9,0,2,1,0,c,2,c,1,779,0,5,0,2
10,527,FillerResp,11,10,10,0,2,4,0,z,1,c,0,524,0,5,0,2
11,528,FillerResp,12,11,11,0,2,3,0,c,2,c,1,547,0,6,0,2
12,529,FillerResp,13,12,12,0,2,1,0,c,2,c,1,538,0,7,0,2
13,530,FillerResp,14,13,13,0,2,2,0,z,1,c,0,672,0,7,0,2
14,531,FillerResp,15,14,14,0,2,4,0,z,1,c,0,655,0,7,0,2
15,532,FillerResp,16,15,15,0,2,3,0,c,2,c,1,646,0,8,0,2
16,533,FillerResp,17,16,16,0,2,2,0,z,1,c,0,486,0,8,0,2
17,534,FillerRespITI,18,17,17,0,2,2,0,z,1,0,0,486,0,8,0,2
18,535,FillerResp,19,18,18,0,1,3,0,z,1,z,1,616,0,9,0,2
19,536,FillerResp,20,19,19,0,2,1,0,c,2,c,1,600,0,10,0,2
20,537,FillerResp,21,20,20,0,1,1,0,c,2,z,0,842,0,10,0,2
21,538,FillerResp,22,21,21,0,2,4,0,z,1,c,0,692,0,10,0,2
22,539,FillerResp,23,22,22,0,1,3,0,z,1,z,1,644,0,11,0,2
23,540,FillerResp,24,23,23,0,2,4,0,z,1,c,0,285,0,11,0,2
24,541,FillerResp,25,24,24,0,1,3,0,z,1,z,1,422,0,12,0,2
25,542,FillerResp,26,25,25,0,2,4,0,z,1,c,0,443,0,12,0,2
26,543,FillerResp,27,26,26,0,1,3,0,z,1,z,1,380,0,13,0,2
27,544,FillerResp,28,27,27,0,2,2,0,z,1,c,0,693,0,13,0,2
28,545,FillerRespITI,29,28,28,0,1,1,1,c,2,0,0,693,0,13,0,2
29,546,FillerRespITI,30,29,29,0,1,2,2,c,2,0,0,693,0,13,0,2
30,547,FillerRespITI,31,30,30,0,2,1,1,c,2,c,0,693,0,13,0,2
31,548,FillerResp,32,31,31,0,1,4,1,z,1,z,1,902,0,13,1,2
32,549,FillerRespITI,33,32,32,0,2,1,1,c,2,0,0,902,0,13,1,2
33,550,FillerResp,34,33,33,0,1,1,1,c,2,z,0,557,0,13,1,2
34,551,FillerRespITI,35,34,34,0,1,2,2,c,2,0,0,557,0,13,1,2
35,552,FillerResp,36,35,35,0,1,3,2,z,1,c,0,502,0,13,1,2
36,553,FillerResp,37,36,36,0,1,3,2,z,1,c,0,998,0,13,1,2
37,554,FillerRespITI,38,37,37,0,2,2,1,z,1,0,0,998,0,13,1,2
38,555,FillerResp,39,38,38,0,1,4,1,z,1,z,1,658,0,13,2,2
39,556,FillerRespITI,40,39,39,0,2,4,1,z,1,0,0,658,0,13,2,2
40,557,FillerResp,41,40,40,0,2,4,2,z,1,z,1,927,0,13,3,2
41,558,FillerResp,42,41,41,0,1,4,1,z,1,z,1,880,0,13,4,2
