,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,LLCounter,LSCounter,NLCounter,NSCounter,Action,Category,StimCategory,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,subject
0,0,Resp,1,1,0,0,0,1,0,0,0,3,NL,RC,2,3,n,v,0,597,2,1
1,1,Resp,1,2,1,1,0,1,0,1,0,3,ML,RC,10,3,n,b,0,776,2,1
2,2,Resp,1,3,2,2,0,1,0,1,1,2,MS,BS,15,2,b,v,0,877,2,1
3,3,Resp,1,4,3,3,0,1,0,1,2,2,MS,BS,15,2,b,b,1,1071,1,1
4,4,Resp,1,5,4,4,0,2,0,1,2,3,NL,RC,2,3,n,n,1,1108,1,1
5,5,Resp,1,6,5,5,0,2,0,2,2,1,ML,RS,9,1,v,m,0,855,2,1
6,6,Resp,1,7,6,6,0,3,0,2,2,3,NL,RC,2,3,n,n,1,513,1,1
7,7,Resp,1,8,7,7,0,3,0,3,2,1,ML,RS,9,1,v,n,0,574,2,1
8,8,Resp,1,9,8,8,0,3,0,3,3,4,MS,BC,16,4,m,b,0,931,2,1
9,9,Resp,1,10,9,9,0,4,0,3,3,4,NL,BC,4,4,m,m,1,822,1,1
10,10,Resp,1,11,10,10,0,4,0,3,4,3,MS,RC,14,3,n,n,1,676,1,1
11,11,Resp,1,12,11,11,0,4,0,4,4,1,ML,RS,9,1,v,v,1,430,1,1
12,12,Resp,1,13,12,12,0,4,1,4,4,3,NS,RC,6,3,n,n,1,642,1,1
13,13,Resp,1,14,13,13,0,4,1,4,5,2,MS,BS,15,2,b,m,0,502,2,1
14,14,Resp,1,15,14,14,0,5,1,4,5,3,NL,RC,2,3,n,n,1,745,1,1
15,15,Resp,1,16,15,15,0,5,1,4,6,2,MS,BS,15,2,b,b,1,877,1,1
16,16,Resp,1,17,16,16,0,6,1,4,6,1,NL,RS,1,1,v,n,0,722,2,1
17,17,Resp,1,18,17,17,0,7,1,4,6,2,NL,BS,3,2,b,m,0,931,2,1
18,18,Resp,1,19,18,18,0,7,2,4,6,1,NS,RS,5,1,v,v,1,1096,1,1
19,19,Resp,1,20,19,19,0,7,2,4,7,3,MS,RC,14,3,n,n,1,780,1,1
20,20,Resp,1,21,20,20,0,7,2,4,8,4,MS,BC,16,4,m,b,0,817,2,1
21,21,Resp,1,22,21,21,0,7,3,4,8,2,NS,BS,7,2,b,b,1,1109,1,1
22,22,Resp,1,23,22,22,0,7,4,4,8,3,NS,RC,6,3,n,n,1,696,1,1
23,23,Resp,1,24,23,23,0,7,4,5,8,4,ML,BC,12,4,m,m,1,940,1,1
24,24,Resp,1,25,24,24,0,7,4,5,9,4,MS,BC,16,4,m,m,1,591,1,1
25,25,Resp,1,26,25,25,0,7,4,5,10,2,MS,BS,15,2,b,b,1,692,1,1
26,26,Resp,1,27,26,26,0,7,4,5,11,1,MS,RS,13,1,v,v,1,710,1,1
27,27,Resp,1,28,27,27,0,7,5,5,11,3,NS,RC,6,3,n,n,1,539,1,1
28,28,Resp,1,29,28,28,0,7,5,6,11,4,ML,BC,12,4,m,m,1,782,1,1
29,29,Resp,1,30,29,29,0,7,5,7,11,3,ML,RC,10,3,n,n,1,675,1,1
30,30,Resp,1,31,30,30,0,7,6,7,11,4,NS,BC,8,4,m,n,0,726,2,1
31,31,Resp,1,32,31,31,0,7,6,8,11,4,ML,BC,12,4,m,m,1,715,1,1
32,32,Resp,1,33,32,32,0,8,6,8,11,2,NL,BS,3,2,b,b,1,1086,1,1
33,33,Resp,1,34,33,33,0,8,6,8,12,1,MS,RS,13,1,v,v,1,643,1,1
34,34,Resp,1,35,34,34,0,9,6,8,12,1,NL,RS,1,1,v,v,1,422,1,1
35,35,Resp,1,36,35,35,0,9,6,9,12,4,ML,BC,12,4,m,m,1,744,1,1
36,36,Resp,1,37,36,36,0,9,7,9,12,2,NS,BS,7,2,b,b,1,1022,1,1
37,37,Resp,1,38,37,37,0,10,7,9,12,1,NL,RS,1,1,v,n,0,609,2,1
