,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,ObjectStimMatrix,StimSequence,NewStimMatrix,oldLLcounter,oldLScounter,oldNLcounter,oldNScounter,newLScounter,newLLcounter,newNScounter,newNLcounter,keyPressed,Mem,RT,Hit,FA,CR,Miss,subject
0,1,MemRespITI,1,1,0,0,0,NL,2,2,,1,0,0,0,0,0,0,0,0,2,,0,0,0,0,1
1,2,MemResp,1,2,1,1,0,ML,2,10,1,1,0,1,0,0,0,0,0,l,2,1471,0,0,0,1,1
2,3,MemResp,1,3,2,2,0,MS,2,15,1,1,0,1,1,0,0,0,0,h,2,1991,1,0,0,0,1
3,4,MemResp,1,4,3,3,0,NS,1,15,1,1,0,1,1,1,0,0,0,l,1,1934,0,0,1,0,1
4,5,MemRespITI,1,5,4,4,0,MS,2,15,3,1,0,1,2,1,0,0,0,0,2,1934,0,0,0,0,1
5,6,MemResp,1,6,5,5,0,NL,2,2,3,2,0,1,2,1,0,0,0,h,2,1676,1,0,0,0,1
6,7,MemResp,1,7,6,6,0,ML,2,9,3,2,0,2,2,1,0,0,0,k,2,1732,0,0,0,1,1
7,8,MemResp,1,8,7,7,0,MS,1,2,3,2,0,2,2,1,0,1,0,j,1,1612,0,1,0,0,1
8,9,MemResp,1,9,8,8,0,NL,2,2,2,3,0,2,2,1,0,1,0,j,2,1755,1,0,0,0,1
9,10,MemResp,1,10,9,9,0,NL,1,9,2,3,0,2,2,1,1,1,0,j,1,1589,0,1,0,0,1
10,11,MemResp,1,11,10,10,0,ML,2,9,2,3,0,3,2,1,1,1,0,k,2,1517,0,0,0,1,1
11,12,MemResp,1,12,11,11,0,MS,2,16,2,3,0,3,3,1,1,1,0,j,2,1561,1,0,0,0,1
12,13,MemRespITI,1,13,12,12,0,NL,2,4,2,4,0,3,3,1,1,1,0,0,2,1561,0,0,0,0,1
13,14,MemResp,1,14,13,13,0,NL,1,14,2,4,0,3,3,1,2,1,0,k,1,1503,0,0,1,0,1
14,15,MemResp,1,15,14,14,0,MS,2,14,1,4,0,3,4,1,2,1,0,k,2,1559,0,0,0,1,1
15,16,MemResp,1,16,15,15,0,ML,2,9,1,4,0,4,4,1,2,1,0,j,2,1760,1,0,0,0,1
16,17,MemResp,1,17,16,16,0,NS,1,6,1,4,0,4,4,2,2,1,0,j,1,1688,0,1,0,0,1
17,18,MemResp,1,18,17,17,0,NS,2,6,3,4,1,4,4,2,2,1,0,j,2,1473,1,0,0,0,1
18,19,MemResp,1,19,18,18,0,MS,1,15,3,4,1,4,4,2,2,2,0,j,1,1143,0,1,0,0,1
19,20,MemResp,1,20,19,19,0,ML,1,15,4,4,1,4,4,2,2,2,1,k,1,1680,0,0,1,0,1
20,21,MemResp,1,21,20,20,0,MS,1,15,3,4,1,4,4,2,2,3,1,j,1,1338,0,1,0,0,1
21,22,MemResp,1,22,21,21,0,MS,2,15,4,4,1,4,5,2,2,3,1,j,2,1905,1,0,0,0,1
22,23,MemResp,1,23,22,22,0,NL,2,2,4,5,1,4,5,2,2,3,1,j,2,1912,1,0,0,0,1
23,24,MemResp,1,24,23,23,0,MS,2,15,4,5,1,4,6,2,2,3,1,j,2,1190,1,0,0,0,1
24,25,MemRespITI,1,25,24,24,0,NL,2,1,4,6,1,4,6,2,2,3,1,0,2,1190,0,0,0,0,1
25,26,MemResp,1,26,25,25,0,NL,2,3,4,7,1,4,6,2,2,3,1,j,2,1552,1,0,0,0,1
26,27,MemResp,1,27,26,26,0,NS,2,5,4,7,2,4,6,2,2,3,1,j,2,1481,1,0,0,0,1
