,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,ObjectStimMatrix,StimSequence,NewStimMatrix,oldLLcounter,oldLScounter,oldNLcounter,oldNScounter,newLScounter,newLLcounter,newNScounter,newNLcounter,keyPressed,PressCorrect,Accuracy,RT,ResponseMatrix,subject
0,173,SourceMemColorResp,1,1,0,0,0,NL,2,2,,1,0,0,0,0,0,0,0,a,a,1,1151,1,1
1,174,SourceMemColorResp,1,2,1,1,0,ML,2,10,1,1,0,1,0,0,0,0,0,a,a,1,1703,2,1
2,175,SourceMemColorResp,1,3,2,2,0,MS,2,15,1,1,0,1,1,0,0,0,0,s,s,1,1713,2,1
3,176,SourceMemColorResp,1,4,3,3,0,NS,1,15,1,1,0,1,1,1,0,0,0,a,0,0,1752,0,1
4,177,SourceMemColorRespITI,1,5,4,4,0,MS,2,15,3,1,0,1,2,1,0,0,0,j,s,0,1752,1,1
5,178,SourceMemColorResp,1,6,5,5,0,NL,2,2,3,2,0,1,2,1,0,0,0,a,a,1,949,1,1
6,179,SourceMemColorResp,1,7,6,6,0,ML,2,9,3,2,0,2,2,1,0,0,0,s,a,0,1133,1,1
7,180,SourceMemColorRespITI,1,8,7,7,0,MS,1,2,3,2,0,2,2,1,0,1,0,j,0,0,1133,0,1
8,181,SourceMemColorResp,1,9,8,8,0,NL,2,2,2,3,0,2,2,1,0,1,0,a,a,1,1109,1,1
9,182,SourceMemColorResp,1,10,9,9,0,NL,1,9,2,3,0,2,2,1,1,1,0,a,0,0,925,0,1
10,183,SourceMemColorResp,1,11,10,10,0,ML,2,9,2,3,0,3,2,1,1,1,0,s,a,0,1030,2,1
11,184,SourceMemColorResp,1,12,11,11,0,MS,2,16,2,3,0,3,3,1,1,1,0,a,s,0,1519,2,1
12,185,SourceMemColorResp,1,13,12,12,0,NL,2,4,2,4,0,3,3,1,1,1,0,a,s,0,1376,1,1
13,186,SourceMemColorResp,1,14,13,13,0,NL,1,14,2,4,0,3,3,1,2,1,0,s,0,0,1847,0,1
14,187,SourceMemColorResp,1,15,14,14,0,MS,2,14,1,4,0,3,4,1,2,1,0,s,a,0,1151,1,1
15,188,SourceMemColorResp,1,16,15,15,0,ML,2,9,1,4,0,4,4,1,2,1,0,s,a,0,1369,1,1
16,189,SourceMemColorResp,1,17,16,16,0,NS,1,6,1,4,0,4,4,2,2,1,0,a,0,0,1138,0,1
17,190,SourceMemColorResp,1,18,17,17,0,NS,2,6,3,4,1,4,4,2,2,1,0,a,a,1,986,2,1
18,191,SourceMemColorResp,1,19,18,18,0,MS,1,15,3,4,1,4,4,2,2,2,0,a,0,0,658,0,1
19,192,SourceMemColorResp,1,20,19,19,0,ML,1,15,4,4,1,4,4,2,2,2,1,s,0,0,969,0,1
20,193,SourceMemColorResp,1,21,20,20,0,MS,1,15,3,4,1,4,4,2,2,3,1,a,0,0,323,0,1
21,194,SourceMemColorResp,1,22,21,21,0,MS,2,15,4,4,1,4,5,2,2,3,1,s,s,1,1674,1,1
22,195,SourceMemColorRespITI,1,23,22,22,0,NL,2,2,4,5,1,4,5,2,2,3,1,j,a,0,1674,2,1
23,196,SourceMemColorResp,1,24,23,23,0,MS,2,15,4,5,1,4,6,2,2,3,1,s,s,1,305,1,1
24,197,SourceMemColorResp,1,25,24,24,0,NL,2,1,4,6,1,4,6,2,2,3,1,a,a,1,1489,2,1
25,198,SourceMemColorResp,1,26,25,25,0,NL,2,3,4,7,1,4,6,2,2,3,1,a,s,0,922,1,1
26,199,SourceMemColorResp,1,27,26,26,0,NS,2,5,4,7,2,4,6,2,2,3,1,a,a,1,1268,1,1
27,200,SourceMemColorResp,1,28,27,27,0,ML,1,14,4,7,2,4,6,2,2,3,2,a,0,0,351,0,1
28,201,SourceMemColorResp,1,29,28,28,0,MS,2,14,4,7,2,4,7,2,2,3,2,a,a,1,493,2,1
29,202,SourceMemColorResp,1,30,29,29,0,MS,2,16,4,7,2,4,8,2,2,3,2,a,s,0,837,2,1
30,203,SourceMemColorResp,1,31,30,30,0,NS,2,7,4,7,3,4,8,2,2,3,2,a,s,0,1319,1,1
31,204,SourceMemColorResp,1,32,31,31,0,NS,2,6,4,7,4,4,8,2,2,3,2,a,a,1,894,2,1
32,205,SourceMemColorResp,1,33,32,32,0,ML,1,12,4,7,4,4,8,2,2,3,3,a,0,0,1000,0,1
33,206,SourceMemColorRespITI,1,34,33,33,0,ML,2,12,2,7,4,5,8,2,2,3,3,k,s,0,1000,2,1
34,207,SourceMemColorResp,1,35,34,34,0,MS,2,16,2,7,4,5,9,2,2,3,3,a,s,0,1048,2,1
35,208,SourceMemColorResp,1,36,35,35,0,NL,1,15,2,7,4,5,9,2,3,3,3,a,0,0,1055,0,1
36,209,SourceMemColorResp,1,37,36,36,0,MS,2,15,1,7,4,5,10,2,3,3,3,a,s,0,923,1,1
37,210,SourceMemColorResp,1,38,37,37,0,NS,1,13,1,7,4,5,10,3,3,3,3,a,0,0,706,0,1
38,211,SourceMemColorResp,1,39,38,38,0,MS,2,13,2,7,4,5,11,3,3,3,3,a,a,1,939,1,1
39,212,SourceMemColorResp,1,40,39,39,0,NS,2,6,2,7,5,5,11,3,3,3,3,a,a,1,1458,2,1
40,213,SourceMemColorResp,1,41,40,40,0,ML,2,12,2,7,5,6,11,3,3,3,3,a,s,0,922,1,1
41,214,SourceMemColorResp,1,42,41,41,0,NL,1,10,2,7,5,6,11,3,4,3,3,a,0,0,1402,0,1
