,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,ObjectStimMatrix,StimSequence,NewStimMatrix,oldLLcounter,oldLScounter,oldNLcounter,oldNScounter,newLScounter,newLLcounter,newNScounter,newNLcounter,keyPressed,PressCorrect,Accuracy,RT,ResponseMatrix,subject
0,345,SourceMemShapeResp,1,1,0,0,0,NL,2,2,,1,0,0,0,0,0,0,0,a,s,0,1096,2,1
1,346,SourceMemShapeResp,1,2,1,1,0,ML,2,10,1,1,0,1,0,0,0,0,0,a,s,0,1809,1,1
2,347,SourceMemShapeResp,1,3,2,2,0,MS,2,15,1,1,0,1,1,0,0,0,0,a,a,1,1242,1,1
3,348,SourceMemShapeResp,1,4,3,3,0,NS,1,15,1,1,0,1,1,1,0,0,0,a,0,0,1522,0,1
4,349,SourceMemShapeResp,1,5,4,4,0,MS,2,15,3,1,0,1,2,1,0,0,0,a,a,1,919,2,1
5,350,SourceMemShapeResp,1,6,5,5,0,NL,2,2,3,2,0,1,2,1,0,0,0,a,s,0,942,1,1
6,351,SourceMemShapeResp,1,7,6,6,0,ML,2,9,3,2,0,2,2,1,0,0,0,s,a,0,581,2,1
7,352,SourceMemShapeResp,1,8,7,7,0,MS,1,2,3,2,0,2,2,1,0,1,0,a,0,0,869,0,1
8,353,SourceMemShapeResp,1,9,8,8,0,NL,2,2,2,3,0,2,2,1,0,1,0,a,s,0,750,1,1
9,354,SourceMemShapeResp,1,10,9,9,0,NL,1,9,2,3,0,2,2,1,1,1,0,a,0,0,711,0,1
10,355,SourceMemShapeResp,1,11,10,10,0,ML,2,9,2,3,0,3,2,1,1,1,0,s,a,0,720,2,1
11,356,SourceMemShapeResp,1,12,11,11,0,MS,2,16,2,3,0,3,3,1,1,1,0,a,s,0,282,2,1
12,357,SourceMemShapeResp,1,13,12,12,0,NL,2,4,2,4,0,3,3,1,1,1,0,a,s,0,186,2,1
13,358,SourceMemShapeResp,1,14,13,13,0,NL,1,14,2,4,0,3,3,1,2,1,0,s,0,0,449,0,1
14,359,SourceMemShapeResp,1,15,14,14,0,MS,2,14,1,4,0,3,4,1,2,1,0,s,s,1,1242,1,1
15,360,SourceMemShapeResp,1,16,15,15,0,ML,2,9,1,4,0,4,4,1,2,1,0,s,a,0,291,2,1
16,361,SourceMemShapeResp,1,17,16,16,0,NS,1,6,1,4,0,4,4,2,2,1,0,a,0,0,746,0,1
17,362,SourceMemShapeResp,1,18,17,17,0,NS,2,6,3,4,1,4,4,2,2,1,0,a,s,0,387,1,1
18,363,SourceMemShapeResp,1,19,18,18,0,MS,1,15,3,4,1,4,4,2,2,2,0,a,0,0,762,0,1
19,364,SourceMemShapeResp,1,20,19,19,0,ML,1,15,4,4,1,4,4,2,2,2,1,s,0,0,34,0,1
20,365,SourceMemShapeResp,1,21,20,20,0,MS,1,15,3,4,1,4,4,2,2,3,1,a,0,0,378,0,1
21,366,SourceMemShapeResp,1,22,21,21,0,MS,2,15,4,4,1,4,5,2,2,3,1,a,a,1,674,2,1
22,367,SourceMemShapeResp,1,23,22,22,0,NL,2,2,4,5,1,4,5,2,2,3,1,s,s,1,832,1,1
23,368,SourceMemShapeResp,1,24,23,23,0,MS,2,15,4,5,1,4,6,2,2,3,1,a,a,1,955,1,1
24,369,SourceMemShapeResp,1,25,24,24,0,NL,2,1,4,6,1,4,6,2,2,3,1,a,a,1,298,1,1
25,370,SourceMemShapeResp,1,26,25,25,0,NL,2,3,4,7,1,4,6,2,2,3,1,a,a,1,964,1,1
26,371,SourceMemShapeResp,1,27,26,26,0,NS,2,5,4,7,2,4,6,2,2,3,1,a,a,1,94,2,1
