,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,YMNCounter,YFNCounter,OMNCounter,OFNCounter,Action,Category,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,ACCCount,subject
0,0,RespITI,3,1,0,0,0,0,0,1,0,4,OMN,4,2,b,0,0,,3,0,1
1,1,Resp,3,2,1,1,0,0,0,1,1,3,OFN,3,3,n,m,0,359,2,0,1
2,2,Resp,3,3,2,2,0,0,0,1,2,3,OFN,3,3,n,m,0,1030,2,0,1
3,3,Resp,3,4,3,3,0,0,1,1,2,1,YFN,1,1,v,v,1,1089,1,1,1
4,4,Resp,3,5,4,4,0,1,1,1,2,2,YMN,2,4,m,v,0,636,2,1,1
5,5,Resp,3,6,5,5,0,1,2,1,2,1,YFN,1,1,v,v,1,771,1,2,1
6,6,Resp,3,7,6,6,0,2,2,1,2,2,YMN,2,4,m,b,0,934,2,2,1
7,7,Resp,3,8,7,7,0,3,2,1,2,2,YMN,2,4,m,m,1,481,1,3,1
8,8,Resp,3,9,8,8,0,3,2,1,3,3,OFN,3,3,n,b,0,770,2,3,1
9,9,Resp,3,10,9,9,0,3,3,1,3,1,YFN,1,1,v,v,1,688,1,4,1
10,10,Resp,3,11,10,10,0,3,4,1,3,1,YFN,1,1,v,v,1,735,1,5,1
11,11,Resp,3,12,11,11,0,3,4,1,4,3,OFN,3,3,n,n,1,1102,1,6,1
12,12,Resp,3,13,12,12,0,3,5,1,4,1,YFN,1,1,v,v,1,929,1,7,1
13,13,Resp,3,14,13,13,0,3,5,2,4,4,OMN,4,2,b,b,1,692,1,8,1
14,14,Resp,3,15,14,14,0,3,5,2,5,3,OFN,3,3,n,n,1,707,1,9,1
15,15,Resp,3,16,15,15,0,4,5,2,5,2,YMN,2,4,m,m,1,840,1,10,1
16,16,Resp,3,17,16,16,0,5,5,2,5,2,YMN,2,4,m,m,1,662,1,11,1
17,17,Resp,3,18,17,17,0,5,5,3,5,4,OMN,4,2,b,b,1,697,1,12,1
18,18,Resp,3,19,18,18,0,5,5,3,6,3,OFN,3,3,n,n,1,647,1,13,1
19,19,Resp,3,20,19,19,0,5,6,3,6,1,YFN,1,1,v,v,1,662,1,14,1
20,20,Resp,3,21,20,20,0,5,6,3,7,3,OFN,3,3,n,n,1,934,1,15,1
21,21,Resp,3,22,21,21,0,5,6,4,7,4,OMN,4,2,b,b,1,485,1,16,1
22,22,Resp,3,23,22,22,0,5,6,4,8,3,OFN,3,3,n,n,1,670,1,17,1
23,23,Resp,3,24,23,23,0,5,7,4,8,1,YFN,1,1,v,b,0,637,2,17,1
24,24,Resp,3,25,24,24,0,5,8,4,8,1,YFN,1,1,v,v,1,519,1,18,1
25,25,Resp,3,26,25,25,0,5,8,5,8,4,OMN,4,2,b,b,1,698,1,19,1
26,26,Resp,3,27,26,26,0,5,9,5,8,1,YFN,1,1,v,v,1,610,1,20,1
27,27,Resp,3,28,27,27,0,5,9,6,8,4,OMN,4,2,b,b,1,635,1,21,1
28,28,Resp,3,29,28,28,0,6,9,6,8,2,YMN,2,4,m,m,1,865,1,22,1
29,29,Resp,3,30,29,29,0,6,9,6,9,3,OFN,3,3,n,n,1,622,1,23,1
30,30,Resp,3,31,30,30,0,6,10,6,9,1,YFN,1,1,v,v,1,591,1,24,1
31,31,Resp,3,32,31,31,0,7,10,6,9,2,YMN,2,4,m,m,1,563,1,25,1
32,32,Resp,3,33,32,32,0,7,10,6,10,3,OFN,3,3,n,n,1,546,1,26,1
33,33,Resp,3,34,33,33,0,7,10,7,10,4,OMN,4,2,b,b,1,534,1,27,1
34,34,Resp,3,35,34,34,0,7,11,7,10,1,YFN,1,1,v,v,1,573,1,28,1
35,35,Resp,3,36,35,35,0,7,11,8,10,4,OMN,4,2,b,b,1,715,1,29,1
36,36,Resp,3,37,36,36,0,7,11,8,11,3,OFN,3,3,n,n,1,644,1,30,1
37,37,Resp,3,38,37,37,0,7,11,9,11,4,OMN,4,2,b,b,1,740,1,31,1
38,38,Resp,3,39,38,38,0,7,11,10,11,4,OMN,4,2,b,b,1,538,1,32,1
39,39,Resp,3,40,39,39,0,7,11,11,11,4,OMN,4,2,b,b,1,710,1,33,1
40,40,Resp,3,41,40,40,0,7,11,11,12,3,OFN,3,3,n,n,1,736,1,34,1
41,41,Resp,3,42,41,41,0,7,12,11,12,1,YFN,1,1,v,v,1,557,1,35,1
42,42,Resp,3,43,42,42,0,7,12,12,12,4,OMN,4,2,b,b,1,697,1,36,1
43,43,Resp,3,44,43,43,0,7,12,13,12,4,OMN,4,2,b,b,1,635,1,37,1
