,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,Gender,Age,FaceStimMatrix,oldYMcounter,oldYFcounter,oldOMcounter,oldOFcounter,newYMcounter,newYFcounter,newOMcounter,newOFcounter,keyPressed,Mem,Hit,FA,CR,Miss,RT,subject
0,1,MemRespITI,3,1,0,0,0,OF,2,2,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,1
1,2,MemResp,3,2,1,1,0,OF,2,2,4,0,0,0,1,0,0,0,1,k,2,0,0,0,1,1300,1
2,3,MemResp,3,3,2,2,0,YM,1,1,1,1,0,0,1,0,0,0,1,a,2,1,0,0,0,1532,1
3,4,MemResp,3,4,3,3,0,OF,2,2,4,1,0,0,2,0,0,0,1,a,2,1,0,0,0,1045,1
4,5,MemResp,3,5,4,4,0,OF,2,2,12,1,0,0,2,0,0,0,2,s,1,0,1,0,0,886,1
5,6,MemResp,3,6,5,5,0,YF,2,1,10,1,0,0,2,0,1,0,2,a,1,0,1,0,0,1130,1
6,7,MemResp,3,7,6,6,0,YF,2,1,2,1,1,0,2,0,1,0,2,a,2,1,0,0,0,791,1
7,8,MemResp,3,8,7,7,0,YF,2,1,2,1,2,0,2,0,1,0,2,k,2,0,0,0,1,886,1
8,9,MemResp,3,9,8,8,0,YF,2,1,10,1,2,0,2,0,2,0,2,k,1,0,0,1,0,847,1
9,10,MemResp,3,10,9,9,0,YM,1,1,1,2,2,0,2,0,2,0,2,a,2,1,0,0,0,945,1
10,11,MemResp,3,11,10,10,0,OM,1,2,3,2,2,1,2,0,2,0,2,s,2,1,0,0,0,977,1
11,12,MemResp,3,12,11,11,0,OM,1,2,3,2,2,2,2,0,2,0,2,s,2,1,0,0,0,1000,1
12,13,MemResp,3,13,12,12,0,OF,2,2,4,2,2,2,3,0,2,0,2,l,2,0,0,0,1,1231,1
13,14,MemResp,3,14,13,13,0,OF,2,2,4,2,2,2,4,0,2,0,2,l,2,0,0,0,1,784,1
14,15,MemResp,3,15,14,14,0,YF,2,1,2,2,3,2,4,0,2,0,2,l,2,0,0,0,1,791,1
15,16,MemResp,3,16,15,15,0,YF,2,1,2,2,4,2,4,0,2,0,2,a,2,1,0,0,0,1209,1
16,17,MemResp,3,17,16,16,0,YM,1,1,1,3,4,2,4,0,2,0,2,l,2,0,0,0,1,814,1
17,18,MemResp,3,18,17,17,0,OF,2,2,12,3,4,2,4,0,2,0,3,l,1,0,0,1,0,1133,1
18,19,MemResp,3,19,18,18,0,OF,2,2,4,3,4,2,5,0,2,0,3,k,2,0,0,0,1,954,1
19,20,MemResp,3,20,19,19,0,YM,1,1,1,4,4,2,5,0,2,0,3,l,2,0,0,0,1,850,1
20,21,MemResp,3,21,20,20,0,YF,2,1,2,4,5,2,5,0,2,0,3,a,2,1,0,0,0,1069,1
21,22,MemResp,3,22,21,21,0,YM,1,1,1,5,5,2,5,0,2,0,3,a,2,1,0,0,0,892,1
22,23,MemResp,3,23,22,22,0,OF,2,2,4,5,5,2,6,0,2,0,3,s,2,1,0,0,0,1139,1
23,24,MemResp,3,24,23,23,0,YM,1,1,9,5,5,2,6,1,2,0,3,k,1,0,0,1,0,1281,1
24,25,MemResp,3,25,24,24,0,YF,2,1,10,5,5,2,6,1,3,0,3,k,1,0,0,1,0,1037,1
25,26,MemResp,3,26,25,25,0,OM,1,2,3,5,5,3,6,1,3,0,3,k,2,0,0,0,1,730,1
26,27,MemResp,3,27,26,26,0,OM,1,2,3,5,5,4,6,1,3,0,3,l,2,0,0,0,1,594,1
27,28,MemResp,3,28,27,27,0,OM,1,2,11,5,5,4,6,1,3,1,3,l,1,0,0,1,0,1474,1
28,29,MemResp,3,29,28,28,0,OF,2,2,12,5,5,4,6,1,3,1,4,l,1,0,0,1,0,1092,1
29,30,MemResp,3,30,29,29,0,OF,2,2,4,5,5,4,7,1,3,1,4,a,2,1,0,0,0,1006,1
30,31,MemResp,3,31,30,30,0,OF,2,2,4,5,5,4,8,1,3,1,4,a,2,1,0,0,0,802,1
31,32,MemResp,3,32,31,31,0,YF,2,1,2,5,6,4,8,1,3,1,4,a,2,1,0,0,0,1308,1
32,33,MemResp,3,33,32,32,0,OF,2,2,4,5,6,4,9,1,3,1,4,k,2,0,0,0,1,1340,1
33,34,MemResp,3,34,33,33,0,OM,1,2,3,5,6,5,9,1,3,1,4,k,2,0,0,0,1,1246,1
34,35,MemResp,3,35,34,34,0,YM,1,1,1,6,6,5,9,1,3,1,4,s,2,1,0,0,0,1715,1
35,36,MemResp,3,36,35,35,0,OM,1,2,3,6,6,6,9,1,3,1,4,s,2,1,0,0,0,994,1
36,37,MemResp,3,37,36,36,0,YM,1,1,1,7,6,6,9,1,3,1,4,s,2,1,0,0,0,1229,1
37,38,MemResp,3,38,37,37,0,YF,2,1,2,7,7,6,9,1,3,1,4,s,2,1,0,0,0,1551,1
38,39,MemResp,3,39,38,38,0,YM,1,1,1,8,7,6,9,1,3,1,4,s,2,1,0,0,0,799,1
39,40,MemResp,3,40,39,39,0,OM,1,2,3,8,7,7,9,1,3,1,4,k,2,0,0,0,1,1201,1
40,41,MemResp,3,41,40,40,0,YF,2,1,2,8,8,7,9,1,3,1,4,s,2,1,0,0,0,899,1
41,42,MemResp,3,42,41,41,0,YF,2,1,10,8,8,7,9,1,4,1,4,l,1,0,0,1,0,1070,1
42,43,MemResp,3,43,42,42,0,OM,1,2,3,8,8,8,9,1,4,1,4,s,2,1,0,0,0,1062,1
43,44,MemResp,3,44,43,43,0,YM,1,1,1,9,8,8,9,1,4,1,4,a,2,1,0,0,0,1244,1
44,45,MemResp,3,45,44,44,0,OF,2,2,4,9,8,8,10,1,4,1,4,k,2,0,0,0,1,850,1
45,46,MemResp,3,46,45,45,0,OM,1,2,3,9,8,9,10,1,4,1,4,s,2,1,0,0,0,1087,1
46,47,MemResp,3,47,46,46,0,OM,1,2,11,9,8,9,10,1,4,2,4,l,1,0,0,1,0,1351,1
47,48,MemResp,3,48,47,47,0,YM,1,1,9,9,8,9,10,2,4,2,4,l,1,0,0,1,0,947,1
48,49,MemResp,3,49,48,48,0,YM,1,1,1,10,8,9,10,2,4,2,4,a,2,1,0,0,0,1018,1
49,50,MemResp,3,50,49,49,0,OF,2,2,4,10,8,9,11,2,4,2,4,s,2,1,0,0,0,821,1
50,51,MemResp,3,51,50,50,0,YM,1,1,9,10,8,9,11,3,4,2,4,k,1,0,0,1,0,1301,1
51,52,MemResp,3,52,51,51,0,YM,1,1,9,10,8,9,11,4,4,2,4,k,1,0,0,1,0,886,1
52,53,MemResp,3,53,52,52,0,YF,2,1,2,10,9,9,11,4,4,2,4,s,2,1,0,0,0,687,1
53,54,MemResp,3,54,53,53,0,OF,2,2,12,10,9,9,11,4,4,2,5,k,1,0,0,1,0,984,1
54,55,MemResp,3,55,54,54,0,OF,2,2,4,10,9,9,12,4,4,2,5,s,2,1,0,0,0,1373,1
55,56,MemResp,3,56,55,55,0,YF,2,1,2,10,10,9,12,4,4,2,5,k,2,0,0,0,1,1945,1
56,57,MemResp,3,57,56,56,0,OM,1,2,3,10,10,10,12,4,4,2,5,s,2,1,0,0,0,1618,1
57,58,MemResp,3,58,57,57,0,OF,2,2,4,10,10,10,13,4,4,2,5,k,2,0,0,0,1,811,1
58,59,MemResp,3,59,58,58,0,YM,1,1,1,11,10,10,13,4,4,2,5,k,2,0,0,0,1,753,1
59,60,MemResp,3,60,59,59,0,YF,2,1,2,11,11,10,13,4,4,2,5,l,2,0,0,0,1,410,1
60,61,MemResp,3,61,60,60,0,OM,1,2,11,11,11,10,13,4,4,3,5,a,1,0,1,0,0,345,1
61,62,MemResp,3,62,61,61,0,OM,1,2,3,11,11,11,13,4,4,3,5,k,2,0,0,0,1,1122,1
62,63,MemResp,3,63,62,62,0,YF,2,1,10,11,11,11,13,4,5,3,5,k,1,0,0,1,0,916,1
