,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,YMNCounter,YFNCounter,OMNCounter,OFNCounter,Action,Category,PositiveTransfer,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,ACCCount,subject
0,0,Resp,2,1,0,0,0,1,0,0,0,3,YMN,0,2,3,n,v,0,545,2,0,1
1,1,Resp,2,2,1,1,0,1,1,0,0,1,YFN,1,1,1,v,n,0,587,2,0,1
2,2,Resp,2,3,2,2,0,2,1,0,0,3,YMN,0,2,3,n,b,0,888,2,0,1
3,3,Resp,2,4,3,3,0,2,2,0,0,1,YFN,1,1,1,v,v,1,619,1,1,1
4,4,Resp,2,5,4,4,0,2,2,1,0,4,OMN,1,4,4,m,m,1,887,1,2,1
5,5,Resp,2,6,5,5,0,2,3,1,0,1,YFN,1,1,1,v,v,1,786,1,3,1
6,6,Resp,2,7,6,6,0,2,4,1,0,1,YFN,1,1,1,v,v,1,584,1,4,1
7,7,Resp,2,8,7,7,0,2,5,1,0,1,YFN,1,1,1,v,v,1,513,1,5,1
8,8,Resp,2,9,8,8,0,2,5,2,0,4,OMN,1,4,4,m,m,1,597,1,6,1
9,9,Resp,2,10,9,9,0,2,5,3,0,4,OMN,1,4,4,m,m,1,561,1,7,1
10,10,Resp,2,11,10,10,0,2,5,4,0,4,OMN,1,4,4,m,m,1,558,1,8,1
11,11,Resp,2,12,11,11,0,2,6,4,0,1,YFN,1,1,1,v,v,1,721,1,9,1
12,12,Resp,2,13,12,12,0,2,6,4,1,2,OFN,0,3,2,b,m,0,493,2,9,1
13,13,Resp,2,14,13,13,0,2,6,5,1,4,OMN,1,4,4,m,m,1,529,1,10,1
14,14,Resp,2,15,14,14,0,3,6,5,1,3,YMN,0,2,3,n,b,0,710,2,10,1
15,15,Resp,2,16,15,15,0,3,6,5,2,2,OFN,0,3,2,b,v,0,729,2,10,1
16,16,Resp,2,17,16,16,0,3,6,6,2,4,OMN,1,4,4,m,m,1,733,1,11,1
17,17,Resp,2,18,17,17,0,3,6,7,2,4,OMN,1,4,4,m,m,1,586,1,12,1
18,18,Resp,2,19,18,18,0,3,6,7,3,2,OFN,0,3,2,b,b,1,518,1,13,1
19,19,Resp,2,20,19,19,0,3,6,7,4,2,OFN,0,3,2,b,b,1,560,1,14,1
20,20,Resp,2,21,20,20,0,4,6,7,4,3,YMN,0,2,3,n,n,1,924,1,15,1
21,21,Resp,2,22,21,21,0,5,6,7,4,3,YMN,0,2,3,n,n,1,440,1,16,1
22,22,Resp,2,23,22,22,0,5,6,8,4,4,OMN,1,4,4,m,m,1,526,1,17,1
23,23,Resp,2,24,23,23,0,6,6,8,4,3,YMN,0,2,3,n,n,1,696,1,18,1
24,24,Resp,2,25,24,24,0,6,6,8,5,2,OFN,0,3,2,b,b,1,524,1,19,1
25,25,Resp,2,26,25,25,0,6,7,8,5,1,YFN,1,1,1,v,v,1,735,1,20,1
