Version,subjID,Gender,Age,Ethinicity,Race,Q1_V,Q2_B,Q3_N,Q4_M,Sum_Q1_Q4,Did the structure depend on the dimension (e.g. age/gender)?,How did you decide on your button responses?,How difficult did you find this task?
3,1,Male,34,Non-Hispanic/Latino,Asian,1,1,1,1,1,1,3,3
3,2,Female,23,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,2,,,3
4,3,Male,28,Hispanic/Latino,American Indian/Alaska Native,1,1,1,1,1,1,1,4
4,4,Female,44,Non-Hispanic/Latino,Black/African American,1,1,1,1,2,,,3
4,5,Male,26,Non-Hispanic/Latino,Asian,1,1,1,1,1,1,1,3
3,6,Male,49,Non-Hispanic/Latino,Asian,1,1,1,1,1,1,3,4
2,7,Male,50,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,2,,,4
4,8,Male,28,Non-Hispanic/Latino,Asian,1,1,1,1,1,1,3,3
1,9,Female,39,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,1,1,4,2
1,10,Male,29,Hispanic/Latino,Other,1,1,1,1,1,0,,4
1,11,Male,30,Do Not Wish to Reply,Asian,1,1,1,1,1,1,3,2
2,12,Male,34,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,1,1,4,4
3,13,Male,24,Non-Hispanic/Latino,Asian,1,1,1,1,1,1,2,5
2,14,Male,28,Hispanic/Latino,Asian,1,1,1,1,1,1,4,3
2,15,Male,24,Non-Hispanic/Latino,Asian,1,1,1,1,2,,,2
2,16,Male,19,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,2,,,5
1,17,Male,33,Hispanic/Latino,White/Caucasian,1,1,1,1,2,,,1
2,18,Male,29,Non-Hispanic/Latino,Asian,1,1,1,1,1,1,2,2
4,19,Male,34,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,2,,,5
2,20,Female,54,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,2,,,5
3,21,Female,40,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,1,1,3,3
1,22,Male,25,Non-Hispanic/Latino,Asian,1,1,1,1,1,1,3,2
3,23,Female,44,Non-Hispanic/Latino,Asian,1,1,1,1,1,1,3,4
4,24,Female,53,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,1,1,2,4
2,25,Male,32,Non-Hispanic/Latino,Black/African American,1,1,1,1,2,,,4
4,26,Female,31,Non-Hispanic/Latino,Black/African American,1,1,1,1,2,,,4
1,27,Male,25,Non-Hispanic/Latino,Asian,1,1,1,1,1,1,2,1
4,28,Female,30,Hispanic/Latino,Black/African American,1,1,1,1,2,,,3
4,29,Female,33,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,2,,,5
1,30,Female,29,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,2,,,5
4,31,Male,32,Non-Hispanic/Latino,Asian,1,1,1,1,1,1,3,1
