,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,YMNCounter,YFNCounter,OMNCounter,OFNCounter,Action,Category,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,ACCCount,subject
0,0,Resp,2,1,0,0,0,0,0,0,1,2,OFN,3,2,b,V,0,961,2,0,5
1,1,Resp,2,2,1,1,0,0,1,0,1,1,YFN,1,1,v,V,1,975,1,1,5
2,2,Resp,2,3,2,2,0,0,1,1,1,4,OMN,4,4,m,B,0,1186,2,1,5
3,3,Resp,2,4,3,3,0,0,1,1,2,2,OFN,3,2,b,B,1,610,1,2,5
4,4,Resp,2,5,4,4,0,1,1,1,2,3,YMN,2,3,n,N,1,1014,1,3,5
5,5,Resp,2,6,5,5,0,1,1,2,2,4,OMN,4,4,m,M,1,544,1,4,5
6,6,Resp,2,7,6,6,0,1,1,2,3,2,OFN,3,2,b,B,1,882,1,5,5
7,7,Resp,2,8,7,7,0,1,2,2,3,1,YFN,1,1,v,V,1,534,1,6,5
8,8,Resp,2,9,8,8,0,1,3,2,3,1,YFN,1,1,v,V,1,622,1,7,5
9,9,Resp,2,10,9,9,0,1,3,2,4,2,OFN,3,2,b,B,1,649,1,8,5
10,10,Resp,2,11,10,10,0,1,4,2,4,1,YFN,1,1,v,V,1,641,1,9,5
11,11,Resp,2,12,11,11,0,1,5,2,4,1,YFN,1,1,v,V,1,615,1,10,5
12,12,RespITI,2,13,12,12,0,2,5,2,4,3,YMN,2,3,n,0,0,615,3,10,5
13,13,Resp,2,14,13,13,0,3,5,2,4,3,YMN,2,3,n,N,1,562,1,11,5
14,14,Resp,2,15,14,14,0,3,5,3,4,4,OMN,4,4,m,M,1,441,1,12,5
15,15,Resp,2,16,15,15,0,3,6,3,4,1,YFN,1,1,v,V,1,447,1,13,5
16,16,Resp,2,17,16,16,0,3,6,3,5,2,OFN,3,2,b,B,1,452,1,14,5
17,17,Resp,2,18,17,17,0,3,6,4,5,4,OMN,4,4,m,M,1,1204,1,15,5
18,18,Resp,2,19,18,18,0,4,6,4,5,3,YMN,2,3,n,N,1,525,1,16,5
