,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,YMNCounter,YFNCounter,OMNCounter,OFNCounter,Action,Category,PositiveTransfer,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,ACCCount,subject
0,0,RespITI,3,1,0,0,0,0,0,0,1,3,OFN,0,3,3,n,0,0,,3,0,2
1,1,Resp,3,2,1,1,0,1,0,0,1,2,YMN,0,2,4,m,b,0,827,2,0,2
2,2,Resp,3,3,2,2,0,1,1,0,1,1,YFN,1,1,1,v,v,1,505,1,1,2
3,3,Resp,3,4,3,3,0,1,2,0,1,1,YFN,1,1,1,v,v,1,578,1,2,2
4,4,Resp,3,5,4,4,0,1,3,0,1,1,YFN,1,1,1,v,v,1,645,1,3,2
5,5,Resp,3,6,5,5,0,1,3,1,1,4,OMN,1,4,2,b,b,1,589,1,4,2
6,6,Resp,3,7,6,6,0,1,3,2,1,4,OMN,1,4,2,b,b,1,689,1,5,2
7,7,Resp,3,8,7,7,0,1,3,3,1,4,OMN,1,4,2,b,b,1,532,1,6,2
8,8,Resp,3,9,8,8,0,1,3,4,1,4,OMN,1,4,2,b,b,1,526,1,7,2
9,9,Resp,3,10,9,9,0,1,3,5,1,4,OMN,1,4,2,b,b,1,813,1,8,2
10,10,Resp,3,11,10,10,0,2,3,5,1,2,YMN,0,2,4,m,v,0,650,2,8,2
11,11,Resp,3,12,11,11,0,2,4,5,1,1,YFN,1,1,1,v,v,1,828,1,9,2
12,12,Resp,3,13,12,12,0,2,4,6,1,4,OMN,1,4,2,b,b,1,904,1,10,2
13,13,Resp,3,14,13,13,0,2,5,6,1,1,YFN,1,1,1,v,v,1,713,1,11,2
14,14,Resp,3,15,14,14,0,2,5,6,2,3,OFN,0,3,3,n,b,0,930,2,11,2
15,15,Resp,3,16,15,15,0,2,5,6,3,3,OFN,0,3,3,n,n,1,554,1,12,2
16,16,Resp,3,17,16,16,0,2,5,6,4,3,OFN,0,3,3,n,n,1,728,1,13,2
17,17,Resp,3,18,17,17,0,2,5,7,4,4,OMN,1,4,2,b,b,1,798,1,14,2
18,18,RespITI,3,19,18,18,0,2,6,7,4,1,YFN,1,1,1,v,0,0,798,3,14,2
19,19,Resp,3,20,19,19,0,3,6,7,4,2,YMN,0,2,4,m,v,0,1017,2,14,2
20,20,Resp,3,21,20,20,0,4,6,7,4,2,YMN,0,2,4,m,m,1,656,1,15,2
21,21,Resp,3,22,21,21,0,4,6,7,5,3,OFN,0,3,3,n,n,1,1054,1,16,2
22,22,Resp,3,23,22,22,0,4,6,7,6,3,OFN,0,3,3,n,n,1,905,1,17,2
23,23,Resp,3,24,23,23,0,4,6,8,6,4,OMN,1,4,2,b,b,1,800,1,18,2
24,24,Resp,3,25,24,24,0,4,6,9,6,4,OMN,1,4,2,b,b,1,769,1,19,2
25,25,Resp,3,26,25,25,0,4,6,10,6,4,OMN,1,4,2,b,b,1,527,1,20,2
26,26,Resp,3,27,26,26,0,4,6,10,7,3,OFN,0,3,3,n,b,0,1236,2,20,2
27,27,Resp,3,28,27,27,0,4,6,10,8,3,OFN,0,3,3,n,n,1,778,1,21,2
28,28,Resp,3,29,28,28,0,4,6,11,8,4,OMN,1,4,2,b,b,1,1048,1,22,2
29,29,Resp,3,30,29,29,0,4,6,11,9,3,OFN,0,3,3,n,n,1,726,1,23,2
30,30,Resp,3,31,30,30,0,4,7,11,9,1,YFN,1,1,1,v,v,1,769,1,24,2
31,31,Resp,3,32,31,31,0,5,7,11,9,2,YMN,0,2,4,m,m,1,691,1,25,2
32,32,Resp,3,33,32,32,0,5,7,11,10,3,OFN,0,3,3,n,n,1,933,1,26,2
33,33,Resp,3,34,33,33,0,6,7,11,10,2,YMN,0,2,4,m,v,0,1015,2,26,2
34,34,Resp,3,35,34,34,0,6,8,11,10,1,YFN,1,1,1,v,v,1,835,1,27,2
35,35,Resp,3,36,35,35,0,6,9,11,10,1,YFN,1,1,1,v,v,1,900,1,28,2
36,36,Resp,3,37,36,36,0,6,10,11,10,1,YFN,1,1,1,v,v,1,859,1,29,2
37,37,Resp,3,38,37,37,0,6,11,11,10,1,YFN,1,1,1,v,v,1,613,1,30,2
38,38,Resp,3,39,38,38,0,6,12,11,10,1,YFN,1,1,1,v,v,1,524,1,31,2
39,39,Resp,3,40,39,39,0,7,12,11,10,2,YMN,0,2,4,m,m,1,703,1,32,2
40,40,Resp,3,41,40,40,0,7,12,12,10,4,OMN,1,4,2,b,b,1,572,1,33,2
41,41,Resp,3,42,41,41,0,7,13,12,10,1,YFN,1,1,1,v,v,1,815,1,34,2
42,42,Resp,3,43,42,42,0,7,13,12,11,3,OFN,0,3,3,n,n,1,1167,1,35,2
43,43,Resp,3,44,43,43,0,7,14,12,11,1,YFN,1,1,1,v,v,1,1186,1,36,2
44,44,Resp,3,45,44,44,0,7,14,13,11,4,OMN,1,4,2,b,b,1,621,1,37,2
45,45,Resp,3,46,45,45,0,8,14,13,11,2,YMN,0,2,4,m,m,1,943,1,38,2
46,46,Resp,3,47,46,46,0,9,14,13,11,2,YMN,0,2,4,m,v,0,1239,2,38,2
47,47,Resp,3,48,47,47,0,9,14,13,12,3,OFN,0,3,3,n,n,1,1249,1,39,2
48,48,Resp,3,49,48,48,0,10,14,13,12,2,YMN,0,2,4,m,m,1,931,1,40,2
49,49,Resp,3,50,49,49,0,10,14,13,13,3,OFN,0,3,3,n,b,0,1027,2,40,2
50,50,Resp,3,51,50,50,0,11,14,13,13,2,YMN,0,2,4,m,m,1,910,1,41,2
51,51,RespITI,3,52,51,51,0,11,14,13,14,3,OFN,0,3,3,n,0,0,910,3,41,2
