,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,YMNCounter,YFNCounter,OMNCounter,OFNCounter,Action,Category,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,ACCCount,subject
0,0,Resp,3,1,0,0,0,0,0,0,1,3,OFN,3,3,n,n,0,1250,3,0,1
1,1,RespITI,3,2,0,0,0,0,0,0,1,3,OFN,3,3,n,n,0,1250,3,0,1
2,2,Resp,3,3,1,1,0,0,1,0,1,1,YFN,1,1,v,m,0,1054,2,0,1
3,3,Resp,3,4,2,2,0,1,1,0,1,2,YMN,2,4,m,v,0,1085,2,0,1
4,4,Resp,3,5,3,3,0,1,1,0,2,3,OFN,3,3,n,b,0,1014,2,0,1
5,5,Resp,3,6,4,4,0,2,1,0,2,2,YMN,2,4,m,m,1,1057,1,1,1
6,6,Resp,3,7,5,5,0,2,2,0,2,1,YFN,1,1,v,v,1,643,1,2,1
7,7,Resp,3,8,6,6,0,2,2,0,3,3,OFN,3,3,n,b,0,896,2,2,1
8,8,Resp,3,9,7,7,0,2,3,0,3,1,YFN,1,1,v,v,1,881,1,3,1
9,9,Resp,3,10,8,8,0,2,3,1,3,4,OMN,4,2,b,b,1,740,1,4,1
10,10,Resp,3,11,9,9,0,2,4,1,3,1,YFN,1,1,v,v,1,855,1,5,1
11,11,Resp,3,12,10,10,0,2,4,2,3,4,OMN,4,2,b,b,1,543,1,6,1
12,12,Resp,3,13,11,11,0,2,4,3,3,4,OMN,4,2,b,b,1,646,1,7,1
13,13,Resp,3,14,12,12,0,2,4,4,3,4,OMN,4,2,b,b,1,587,1,8,1
14,14,Resp,3,15,13,13,0,2,4,4,4,3,OFN,3,3,n,n,1,774,1,9,1
15,15,Resp,3,16,14,14,0,2,4,4,5,3,OFN,3,3,n,n,1,937,1,10,1
16,16,Resp,3,17,15,15,0,2,5,4,5,1,YFN,1,1,v,v,1,980,1,11,1
17,17,Resp,3,18,16,16,0,2,6,4,5,1,YFN,1,1,v,v,1,640,1,12,1
18,18,Resp,3,19,17,17,0,2,6,5,5,4,OMN,4,2,b,b,1,858,1,13,1
19,19,Resp,3,20,18,18,0,2,6,5,6,3,OFN,3,3,n,n,1,751,1,14,1
